,X Axis,Y Axis,Z Axis,Rho,Initial Value,Predictability,Self-Organization,Emergence,Complexity,Equilibrium Point,Pitchfork Bifurcation,Hopf
0,1.0,0.0,0.0,0.1,-1.6109623175797234,0.4389315397391197,0.85909522,0.14270157444750914,0.12259424049432925,1.0,0.0,0.0
1,1.0,0.0,0.0,0.2,-1.5050670621942406,0.3819298885742311,0.8567549600000001,0.14961674094022992,0.12818488489957705,1.0,0.0,0.0
2,1.0,0.0,0.0,0.30000000000000004,0.18103326947501835,0.3713178291830288,0.30201534,1.4577405764386202,0.4402600158249059,1.0,0.0,0.0
3,1.0,0.0,0.0,0.4,-1.9262144634626148,0.5575019175874785,0.28005968000000003,1.072778853019021,0.3004421022872741,1.0,0.0,0.0
4,1.0,0.0,0.0,0.5,-0.002123735402668506,0.4656507980503404,0.34480428,1.2908098866655666,0.4450767735886023,1.0,0.0,0.0
5,1.0,0.0,0.0,0.6,-0.010217768308244949,0.5585147771811819,0.10849890000000002,1.8949059703804376,0.20559521338971007,1.0,0.0,0.0
6,1.0,0.0,0.0,0.7000000000000001,1.7632216002231609,0.5621919936530879,0.6814153599999998,0.4452484265777046,0.3033991168858801,1.0,0.0,0.0
7,1.0,0.0,0.0,0.8,-0.5275686049225706,0.5903790566045944,0.11957072,1.6594346373332842,0.1984197943788797,1.0,0.0,0.0
8,1.0,0.0,0.0,0.9,0.8584715330351319,0.3399753717099905,0.19386688000000005,1.5851864475513269,0.30731515080505944,1.0,0.0,0.0
9,1.0,0.0,0.0,1.0,0.3787501334634076,0.5733835293108243,0.07641838000000001,1.99184455702972,0.15221353426002884,0.0,0.0,0.0
10,1.0,0.0,0.0,1.1,1.3494058650468141,0.5606443975004133,0.34421538,0.9831847217823833,0.3384273026185173,0.0,1.0,0.0
11,1.0,0.0,0.0,1.2000000000000002,-0.4469328487994833,0.5314670022984944,0.39848084,0.7710430001222555,0.3072458623648365,0.0,1.0,0.0
12,1.0,0.0,0.0,1.3000000000000005,1.3859007136392931,0.4296913941468404,0.8631989,0.13040797009710248,0.11256801633905177,0.0,1.0,0.0
13,1.0,0.0,0.0,1.4,-0.8469412900206069,0.3503771134518203,0.4647832800000001,0.9168192482055388,0.42612225734810455,0.0,1.0,0.0
14,1.0,0.0,0.0,1.5000000000000002,1.1210371858853765,0.4121011553712299,0.86319966,0.13027183722420946,0.11245060559951296,0.0,1.0,0.0
15,1.0,0.0,0.0,1.6,-0.2030042671402668,0.18027132763816034,0.10047559999999996,1.9298085313280384,0.1938986700703034,0.0,1.0,0.0
16,1.0,0.0,0.0,1.7000000000000002,0.2478832326930898,0.2976762265153318,0.6480321600000002,0.6260215979210457,0.4056821283074269,0.0,1.0,0.0
17,1.0,0.0,0.0,1.8000000000000005,1.4058887954130117,0.43994003945378746,0.4886870000000001,1.0577602855342716,0.5169137006568867,0.0,1.0,0.0
18,1.0,0.0,0.0,1.9,0.6381262051300154,0.21694061247292395,0.3511162200000001,1.3482565293114743,0.473394736162164,0.0,1.0,0.0
19,1.0,0.0,0.0,2.0,0.18148209369733667,0.31714096497946803,0.7492724400000002,0.4222004320805695,0.31634314791406265,0.0,1.0,0.0
20,1.0,0.0,0.0,2.1,0.8489997079393677,0.2703278516203653,0.52808616,0.8893321854418839,0.4696440187744123,0.0,1.0,0.0
21,1.0,0.0,0.0,2.2,0.5372741591849175,0.4599219310737266,0.5898686200000001,0.6614295352238108,0.39015652716971067,0.0,1.0,0.0
22,1.0,0.0,0.0,2.3000000000000003,1.5384125711715564,0.3395760724230442,0.41974476,1.136712149231923,0.4771289682684377,0.0,1.0,0.0
23,1.0,0.0,0.0,2.4000000000000004,-0.19118373089510893,0.4496724627377915,0.59019248,0.7209373780325882,0.4254918190657507,0.0,1.0,0.0
24,1.0,0.0,0.0,2.5000000000000004,-0.3280933600668212,0.14319395909498275,0.19349412,1.6121913101024132,0.31194953881991355,0.0,1.0,0.0
